rider_id,rider_name,stage_id,stage,stage_points,cumulative_points
rider/bjoern-koerdt,KOERDT Bjorn,race/vuelta-a-espana/2025/stage-15,15,0,4
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-5,5,6,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-6,6,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-7,7,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-8,8,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-9,9,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-10,10,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-11,11,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-12,12,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-13,13,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-14,14,0,6
rider/bob-jungels,JUNGELS Bob,race/vuelta-a-espana/2025/stage-15,15,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-5,5,6,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-6,6,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-7,7,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-8,8,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-9,9,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-10,10,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-11,11,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-12,12,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-13,13,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-14,14,0,6
rider/brandon-smith-rivera-vargas,RIVERA Brandon Smith,race/vuelta-a-espana/2025/stage-15,15,0,6
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-1,1,0,0
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-2,2,0,0
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-3,3,0,0
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-4,4,0,0
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-5,5,2,2
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-6,6,0,2
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-7,7,6,8
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-8,8,0,8
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-9,9,0,8
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-10,10,0,8
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-11,11,0,8
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-12,12,20,28
rider/brieuc-rolland,ROLLAND Brieuc,race/vuelta-a-espana/2025/stage-13,13,0,28
